,Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type_of_PPI,Subtype of PPI,Project status,dateStatusUpdated,Primary_sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure,State_Abv,State_Code
1246,Europe and Central Asia,Armenia,Lower middle income,Non-IDA,2003,September,Sevan-Hrazdan Cascade of HEPS,Sevan-Hrazdan hydropower network,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,West-Central Armenia,Not Available,National,Not Available,,Not Available,,,2003,100,25,0,25,MW,1100,"Hydro, Large (>50MW)",,,Direct negotiation,,Unified Energy System of Russia (RAO UESR) (Not Available / 100% / Russian Federation),Not Applicable,,"ADB (Loan / $25 Million / 2013), 
EBRD (Loan / $25 Million / 2013)",No,,,KfW (Not Available / Not Available / $Not Available),Yes,No,OK,30
1247,Europe and Central Asia,Armenia,Lower middle income,Non-IDA,2006,March,Hrazdan TPP  Fifth Block,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Kotayk province.,25,National,Not Available,,Not Available,,,2006,100,Not Available,200,200,MW,480,Natural Gas,,,Direct negotiation,,Gazprom (Not Available / 100% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,SC,32
1248,Europe and Central Asia,Armenia,Lower middle income,Non-IDA,2006,March,Hrazdan TPP  Fifth Block,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Kotayk province.,25,National,Not Available,,Not Available,,,2011,100,Not Available,Not Available,Not Available,MW,480,Natural Gas,,,Direct negotiation,,Gazprom (Not Available / 100% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,WV,29
1249,Europe and Central Asia,Armenia,Lower middle income,Non-IDA,2015,June,Vorotan Hydropower Plant (450MW),,Divestiture,Full,Active,7/31/2018,Energy,Electricity,Electricity distribution and generation,"Vorotan river, Tatev, Armenia",25,National,Revenue subsidy,Not Available,Not Available,,54,2015,100,180,70,250,MW,405,"Hydro, Large (>50MW)",,Not Applicable,Not Available,,"International Finance Corporation (IFC) ($7 / 20% / ..), 
ContourGlobal ($47 / 80% / United States)",Purchase agreements or transmission fees with public entity(ies),,"IFC (Loan / $17 Million / 2015), 
IFC (Equity / $8 Million / 2015), 
IFC (Loan / $50 Million / 2018), 
IFC (Risk Management (including Political Risk Insurance) / $3 Million / 2018)",No,Not Available,Not Available,"IFC (Multilateral / International / $52.9), 
HSBC (Commercial / International / $Not Available), 
Other Commercial Bank Ameria Bank (Commercial / Local / $Not Available)",No,No,AL,18
1250,Europe and Central Asia,Azerbaijan,Upper middle income,Non-IDA,2001,November,Baku Electricity Network,"BARMEK, Barmek Azerbaijan Electricity Network, Bakelektroset",Brownfield,"Rehabilitate, operate, and transfer",Cancelled,7/1/2006,Energy,Electricity,Electricity distribution,Not Available,25,Not Available,Not Available,,Not Available,,,2001,100,0,230,230,MW,5800,,Baku Electricity Network,,Not Available,,Barmek (Not Available / 100% / Turkey),Not Applicable,,No,No,,,,Yes,No,IL,38
1251,Europe and Central Asia,Azerbaijan,Upper middle income,Non-IDA,2002,October,Alibayramlielectricshebeke & Ganjaelectricshebeke,,Brownfield,"Rehabilitate, operate, and transfer",Cancelled,12/1/2005,Energy,Electricity,Electricity distribution,Not Available,25,National,Not Available,,Not Available,,,2002,Not Available,0,65.2,65.2,Not Available,Not Available,,,Not Available,Competitive bidding,4,Baku Yuksak Garginlik Electric Avadanligi (Not Available / Not Available% / Azerbaijan),Not Applicable,,No,No,,,,Yes,No,CT,4
1252,Europe and Central Asia,Azerbaijan,Upper middle income,Non-IDA,2002,October,Sumgayitelektriksebeke,,Brownfield,"Rehabilitate, operate, and transfer",Cancelled,7/1/2006,Energy,Electricity,Electricity distribution,Sumgayit and northern districts of Azerbaijan,25,Not Available,Not Available,,Not Available,,,2002,100,0,80,80,Number of installed connections ( in thousands),160,,Sumgayitelektriksebeke,,Not Available,,Barmek (Not Available / 100% / Turkey),Not Applicable,,No,No,,,,Yes,No,NE,1
1253,Europe and Central Asia,Belarus,Upper middle income,Non-IDA,1996,June,Yamal Pipeline in Belarus,,Greenfield project,"Build, own, and operate",Active,,Energy,Natural Gas,Natural gas transmission,Not Available,Not Available,Not Available,Not Available,,Not Available,,,1996,Not Available,0,500,500,KM,575,,,,Not Available,,Gazprom (Not Available / Not Available% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,MT,24
1254,Europe and Central Asia,Belarus,Upper middle income,Non-IDA,2007,May,Beltransgaz,,Divestiture,Full,Active,2/1/2010,Energy,Natural Gas,Natural gas distribution and transmission,Not Available,Not Applicable,National,Not Available,,Not Available,,,2007,13,625,Not Available,625,KM,7000,Not Applicable,,,Direct negotiation,,Gazprom (Not Available / 50% / Russian Federation),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,,Yes,No,MI,24
1255,Europe and Central Asia,Belarus,Upper middle income,Non-IDA,2007,May,Beltransgaz,,Divestiture,Full,Active,2/1/2010,Energy,Natural Gas,Natural gas distribution and transmission,Not Available,Not Applicable,National,Not Available,,Not Available,,,2008,25,625,Not Available,625,KM,7000,Not Applicable,,,Direct negotiation,,Gazprom (Not Available / 50% / Russian Federation),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,,Yes,No,OH,27
1256,Europe and Central Asia,Belarus,Upper middle income,Non-IDA,2007,May,Beltransgaz,,Divestiture,Full,Active,2/1/2010,Energy,Natural Gas,Natural gas distribution and transmission,Not Available,Not Applicable,National,Not Available,,Not Available,,,2009,38,625,Not Available,625,KM,7000,Not Applicable,,,Direct negotiation,,Gazprom (Not Available / 50% / Russian Federation),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,,Yes,No,ND,32
1257,Europe and Central Asia,Belarus,Upper middle income,Non-IDA,2007,May,Beltransgaz,,Divestiture,Full,Active,2/1/2010,Energy,Natural Gas,Natural gas distribution and transmission,Not Available,Not Applicable,National,Not Available,,Not Available,,,2010,50,625,Not Available,625,KM,7000,Not Applicable,,,Direct negotiation,,Gazprom (Not Available / 50% / Russian Federation),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,,Yes,No,NC,14
1258,Europe and Central Asia,Belarus,Upper middle income,Non-IDA,2007,May,Beltransgaz,,Divestiture,Full,Active,2/1/2010,Energy,Natural Gas,Natural gas distribution and transmission,Not Available,Not Applicable,National,Not Available,,Not Available,,,2011,100,2500,Not Available,2500,KM,7000,Not Applicable,,,Direct negotiation,,Gazprom (Not Available / 50% / Russian Federation),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,,Yes,No,CA,7
1259,Europe and Central Asia,Bosnia and Herzegovina,Upper middle income,Non-IDA,2012,December,EFT Stanari Coal Plant,,Greenfield project,"Build, operate, and transfer",Active,12/1/2012,Energy,Electricity,Electricity generation,Northern Bosnia,30,National,Not Available,,Not Available,,226,2012,100,Not Available,661.9,661.9,MW,300,Coal,,Not Applicable,Competitive bidding,Not Available,Energy Financing Team (EFT) ($226 / 100% / United Kingdom),Sales to wholesale market,,No,No,436,70/30,China Development Bank (CDB) (Public / International / $436),No,No,LA,43
1260,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,October,Russe gas distribution,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Russe,10,National,Not Available,,Not Available,,,2003,Not Available,0,0,Not Available,Not Available,Not Available,,,Not Applicable,Competitive bidding,Not Available,Gazprom (Not Available / 50% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,MA,16
1261,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,October,Russe gas distribution,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Russe,10,National,Not Available,,Not Available,,,2004,100,0,13.3,13.3,Number of installed connections ( in thousands),2,,,Not Applicable,Competitive bidding,Not Available,Gazprom (Not Available / 50% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,KY,11
1262,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,July,Sofia gas distribution,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Sofia,35,National,Not Available,,Not Available,,,2003,100,0,60,60,Not Available,Not Available,,,Not Applicable,Competitive bidding,Not Available,Gazprom (Not Available / 50% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,MN,28
1263,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,July,Sofia gas distribution,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Sofia,35,National,Not Available,,Not Available,,,2008,100,0,0,Not Available,Number of installed connections ( in thousands),11,,,Not Applicable,Competitive bidding,Not Available,Gazprom (Not Available / 50% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,UT,48
1264,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,February,The Maritza East III Power Plant,Maritsa Iztok III power plant,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Stara Zagora, south-central Bulgaria ",Not Available,National,Not Available,,Not Available,,,2003,73,0,697.6,697.6,MW,840,Coal,,,Direct negotiation,,ContourGlobal (Not Available / 73% / United States),Not Applicable,,"MIGA (Guarantee / $238 Million / 2003), 
MIGA (Guarantee / $51 Million / 2003), 
EBRD (Loan / $127 Million / 2003)",No,,,"Soc Gen (Not Available / Not Available / $Not Available), 
Credit Agricole (Not Available / Not Available / $Not Available), 
UniCredit (Not Available / Not Available / $Not Available), 
Banca Mediocredito (Not Available / Not Available / $Not Available)",Yes,No,WY,32
1265,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,February,The Maritza East III Power Plant,Maritsa Iztok III power plant,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Stara Zagora, south-central Bulgaria ",Not Available,National,Not Available,,Not Available,,,2009,73,Not Available,Not Available,Not Available,MW,908,Coal,,,Direct negotiation,,ContourGlobal (Not Available / 73% / United States),Not Applicable,,"MIGA (Guarantee / $238 Million / 2003), 
MIGA (Guarantee / $51 Million / 2003), 
EBRD (Loan / $127 Million / 2003)",No,,,"Soc Gen (Not Available / Not Available / $Not Available), 
Credit Agricole (Not Available / Not Available / $Not Available), 
UniCredit (Not Available / Not Available / $Not Available), 
Banca Mediocredito (Not Available / Not Available / $Not Available)",Yes,No,CO,30
1266,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,February,The Maritza East III Power Plant,Maritsa Iztok III power plant,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Stara Zagora, south-central Bulgaria ",Not Available,National,Not Available,,Not Available,,,2011,73,Not Available,Not Available,Not Available,MW,908,Coal,,,Direct negotiation,,ContourGlobal (Not Available / 73% / United States),Not Applicable,,"MIGA (Guarantee / $238 Million / 2003), 
MIGA (Guarantee / $51 Million / 2003), 
EBRD (Loan / $127 Million / 2003)",No,,,"Soc Gen (Not Available / Not Available / $Not Available), 
Credit Agricole (Not Available / Not Available / $Not Available), 
UniCredit (Not Available / Not Available / $Not Available), 
Banca Mediocredito (Not Available / Not Available / $Not Available)",Yes,No,PA,35
1267,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2003,July,Varna gas distribution,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Varna,35,National,Not Available,,Not Available,,,2003,66,0,36,36,Number of installed connections ( in thousands),3,,,Not Applicable,Competitive bidding,Not Available,Gazprom (Not Available / 33% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,CT,37
1268,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2004,February,Dobrudja gas distribution,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Northeastern Bulgaria ,35,National,Not Available,,Not Available,,,2004,98,0,58,58,Not Available,Not Available,,,Not Applicable,Competitive bidding,2,AMGA (Not Available / 100% / Italy),Not Applicable,,No,No,,,UniCredit (Not Available / Not Available / $Not Available),Yes,No,SD,23
1269,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2004,November,Elektrorazpredelenie Gorna Oryahovitza and Varna,,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,Varna,Not Available,National,Not Available,,Not Available,,,2004,67,183,Not Available,183,Number of installed connections ( in thousands),1100,Not Applicable,,Highest price paid to government,Competitive bidding,Not Available,Energo Pro as (Not Available / 67% / Czech Republic),Not Applicable,,No,No,,,,Yes,No,AL,2
1270,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2004,February,Miziya gas distribution,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,"North Bulgaria, Pleven",35,National,Not Available,,Not Available,,,2004,98,0,46.5,46.5,Not Available,Not Available,,,Not Applicable,Competitive bidding,3,AMGA (Not Available / 100% / Italy),Not Applicable,,No,No,,,UniCredit (Not Available / Not Available / $Not Available),Yes,No,NC,7
1271,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,CEZ Razpredelenie Bulgaria AD,"EDC Stolichno (Sofia), EDC Sofia Oblast and EDC Pleven",Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Sofia city, Sofia region and Pleven",Not Available,National,Not Available,,Not Available,,,2005,67,363.5,0,363.5,Number of installed connections ( in thousands),1700,,,Highest price paid to government,Competitive bidding,3,CEZ Group (Not Available / 67% / Czech Republic),Not Applicable,,No,No,,,,Yes,No,WA,6
1272,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,CEZ Razpredelenie Bulgaria AD,"EDC Stolichno (Sofia), EDC Sofia Oblast and EDC Pleven",Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Sofia city, Sofia region and Pleven",Not Available,National,Not Available,,Not Available,,,2006,67,0,50,50,Number of installed connections ( in thousands),1700,,,Highest price paid to government,Competitive bidding,3,CEZ Group (Not Available / 67% / Czech Republic),Not Applicable,,No,No,,,,Yes,No,OR,23
1273,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,CEZ Razpredelenie Bulgaria AD,"EDC Stolichno (Sofia), EDC Sofia Oblast and EDC Pleven",Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Sofia city, Sofia region and Pleven",Not Available,National,Not Available,,Not Available,,,2007,67,0,60,60,Number of installed connections ( in thousands),1700,,,Highest price paid to government,Competitive bidding,3,CEZ Group (Not Available / 67% / Czech Republic),Not Applicable,,No,No,,,,Yes,No,AL,14
1274,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,CEZ Razpredelenie Bulgaria AD,"EDC Stolichno (Sofia), EDC Sofia Oblast and EDC Pleven",Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Sofia city, Sofia region and Pleven",Not Available,National,Not Available,,Not Available,,,2008,67,0,67,67,Number of installed connections ( in thousands),1970,,,Highest price paid to government,Competitive bidding,3,CEZ Group (Not Available / 67% / Czech Republic),Not Applicable,,No,No,,,,Yes,No,OK,32
1275,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,CEZ Razpredelenie Bulgaria AD,"EDC Stolichno (Sofia), EDC Sofia Oblast and EDC Pleven",Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Sofia city, Sofia region and Pleven",Not Available,National,Not Available,,Not Available,,,2009,67,0,52,52,Number of installed connections ( in thousands),1970,,,Highest price paid to government,Competitive bidding,3,CEZ Group (Not Available / 67% / Czech Republic),Not Applicable,,No,No,,,,Yes,No,ME,19
1276,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,CEZ Razpredelenie Bulgaria AD,"EDC Stolichno (Sofia), EDC Sofia Oblast and EDC Pleven",Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Sofia city, Sofia region and Pleven",Not Available,National,Not Available,,Not Available,,,2011,67,Not Available,49.8,49.8,Number of installed connections ( in thousands),1970,,,Highest price paid to government,Competitive bidding,3,CEZ Group (Not Available / 67% / Czech Republic),Not Applicable,,No,No,,,,Yes,No,KY,2
1277,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Elektrorazpredelenie Plovdiv AD and Elektrorazpredelenie Stara Zagora AD,Southeast Electricity Distribution Group,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,Plovdiv and Stara Zagora,Not Available,National,Not Available,,Not Available,,,2005,67,355.6,42,397.6,Number of installed connections ( in thousands),1500,,,Highest price paid to government,Competitive bidding,5,Energie Versorgung Niederosterreich (EVN) AG (Not Available / 99% / Austria),User fees,,No,No,,,,Yes,No,VA,41
1278,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Elektrorazpredelenie Plovdiv AD and Elektrorazpredelenie Stara Zagora AD,Southeast Electricity Distribution Group,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,Plovdiv and Stara Zagora,Not Available,National,Not Available,,Not Available,,,2006,67,0,42,42,Number of installed connections ( in thousands),1500,,,Highest price paid to government,Competitive bidding,5,Energie Versorgung Niederosterreich (EVN) AG (Not Available / 99% / Austria),User fees,,No,No,,,,Yes,No,NE,47
1279,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Elektrorazpredelenie Plovdiv AD and Elektrorazpredelenie Stara Zagora AD,Southeast Electricity Distribution Group,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,Plovdiv and Stara Zagora,Not Available,National,Not Available,,Not Available,,,2007,67,0,107.7,107.7,Number of installed connections ( in thousands),1500,,,Highest price paid to government,Competitive bidding,5,Energie Versorgung Niederosterreich (EVN) AG (Not Available / 99% / Austria),User fees,,No,No,,,,Yes,No,SD,13
1280,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Elektrorazpredelenie Plovdiv AD and Elektrorazpredelenie Stara Zagora AD,Southeast Electricity Distribution Group,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,Plovdiv and Stara Zagora,Not Available,National,Not Available,,Not Available,,,2008,67,0,105,105,Number of installed connections ( in thousands),1591,,,Highest price paid to government,Competitive bidding,5,Energie Versorgung Niederosterreich (EVN) AG (Not Available / 99% / Austria),User fees,,No,No,,,,Yes,No,MS,47
1281,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Elektrorazpredelenie Plovdiv AD and Elektrorazpredelenie Stara Zagora AD,Southeast Electricity Distribution Group,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,Plovdiv and Stara Zagora,Not Available,National,Not Available,,Not Available,,,2009,67,0,98,98,Number of installed connections ( in thousands),1605,,,Highest price paid to government,Competitive bidding,5,Energie Versorgung Niederosterreich (EVN) AG (Not Available / 99% / Austria),User fees,,No,No,,,,Yes,No,ID,17
1282,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Elektrorazpredelenie Plovdiv AD and Elektrorazpredelenie Stara Zagora AD,Southeast Electricity Distribution Group,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,Plovdiv and Stara Zagora,Not Available,National,Not Available,,Not Available,,,2011,99,59.2,Not Available,59.2,Not Available,Not Available,,,Highest price paid to government,Competitive bidding,5,Energie Versorgung Niederosterreich (EVN) AG (Not Available / 99% / Austria),User fees,,No,No,,,,Yes,No,UT,15
1283,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,December,Maritza East I Power Plant Project,"AES Corporation, Maritza lztok Lignite Fired Power",Greenfield project,"Build, own, and operate",Active,6/1/2011,Energy,Electricity,Electricity generation,"Galabovo, 250km South-east of Sofia",15,National,Not Available,,Not Available,,327.5,2005,100,0,1400,1400,MW,670,Coal,Maritza East I Power Plant Project,Highest price paid to government,Competitive bidding,Not Available,AES Corporation ($327.5 / 100% / United States),PPA/WPA payments,,"EBRD (Syndication / $287 Million / 2005), 
MIGA (Guarantee / $118 Million / 2005), 
EBRD (Loan / $144 Million / 2005)",No,1072.5,77/23,Banco Santand (Not Available / Not Available / $Not Available),Yes,No,FL,10
1284,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Northeast Electricity Distribution Group,Elektrorazpredelenie Varna AD and Elektrorazpredelenie Gorna Oryakhovitsa AD,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Varna, Gorna Oryakhovitsa",Not Available,National,Not Available,,Not Available,,,2005,67,181,0,181,Number of installed connections ( in thousands),1130,,,Highest price paid to government,Competitive bidding,4,Energo Pro as (Not Available / 59% / Czech Republic),Not Applicable,,EBRD (Equity / $21 Million / 2006),No,,,,Yes,No,AZ,40
1285,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Northeast Electricity Distribution Group,Elektrorazpredelenie Varna AD and Elektrorazpredelenie Gorna Oryakhovitsa AD,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Varna, Gorna Oryakhovitsa",Not Available,National,Not Available,,Not Available,,,2006,67,0,81,81,Number of installed connections ( in thousands),1130,,,Highest price paid to government,Competitive bidding,4,Energo Pro as (Not Available / 59% / Czech Republic),Not Applicable,,EBRD (Equity / $21 Million / 2006),No,,,,Yes,No,OK,7
1286,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Northeast Electricity Distribution Group,Elektrorazpredelenie Varna AD and Elektrorazpredelenie Gorna Oryakhovitsa AD,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Varna, Gorna Oryakhovitsa",Not Available,National,Not Available,,Not Available,,,2007,67,0,30,30,Number of installed connections ( in thousands),1130,,,Highest price paid to government,Competitive bidding,4,Energo Pro as (Not Available / 59% / Czech Republic),Not Applicable,,EBRD (Equity / $21 Million / 2006),No,,,,Yes,No,WV,39
1287,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Northeast Electricity Distribution Group,Elektrorazpredelenie Varna AD and Elektrorazpredelenie Gorna Oryakhovitsa AD,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Varna, Gorna Oryakhovitsa",Not Available,National,Not Available,,Not Available,,,2008,67,0,43,43,Number of installed connections ( in thousands),1130,,,Highest price paid to government,Competitive bidding,4,Energo Pro as (Not Available / 59% / Czech Republic),Not Applicable,,EBRD (Equity / $21 Million / 2006),No,,,,Yes,No,TN,44
1288,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Northeast Electricity Distribution Group,Elektrorazpredelenie Varna AD and Elektrorazpredelenie Gorna Oryakhovitsa AD,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Varna, Gorna Oryakhovitsa",Not Available,National,Not Available,,Not Available,,,2009,67,0,42,42,Number of installed connections ( in thousands),1130,,,Highest price paid to government,Competitive bidding,4,Energo Pro as (Not Available / 59% / Czech Republic),Not Applicable,,EBRD (Equity / $21 Million / 2006),No,,,,Yes,No,FL,48
1289,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Northeast Electricity Distribution Group,Elektrorazpredelenie Varna AD and Elektrorazpredelenie Gorna Oryakhovitsa AD,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Varna, Gorna Oryakhovitsa",Not Available,National,Not Available,,Not Available,,,2010,67,Not Available,49.4,49.4,Number of installed connections ( in thousands),1130,,,Highest price paid to government,Competitive bidding,4,Energo Pro as (Not Available / 59% / Czech Republic),Not Applicable,,EBRD (Equity / $21 Million / 2006),No,,,,Yes,No,MO,38
1290,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2005,January,Northeast Electricity Distribution Group,Elektrorazpredelenie Varna AD and Elektrorazpredelenie Gorna Oryakhovitsa AD,Divestiture,Partial,Active,,Energy,Electricity,Electricity distribution,"Varna, Gorna Oryakhovitsa",Not Available,National,Not Available,,Not Available,,,2011,67,Not Available,Not Available,Not Available,Number of installed connections ( in thousands),1130,,,Highest price paid to government,Competitive bidding,4,Energo Pro as (Not Available / 59% / Czech Republic),Not Applicable,,EBRD (Equity / $21 Million / 2006),No,,,,Yes,No,WV,36
1291,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2006,October,Citygas,Citigas,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Trakia region,35,National,Not Available,,Not Available,,,2006,100,0,192,192,Number of installed connections ( in thousands),Not Available,Not Applicable,,Not Available,Competitive bidding,5,Gruppo Societa Gas Rimini SpA (Not Available / 90% / Italy),User fees,,EBRD (Loan / $40 Million / 2010),No,,,,Yes,No,MO,34
1292,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2006,December,Energy Invest Bulgaria,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,Kavarna region,Not Available,Not Available,Not Available,,Not Available,,,2006,100,0,1.6,1.6,MW,2,Wind,,,License scheme,,Advance Equity Holding (Not Available / 100% / Bulgaria),Purchase agreements or transmission fees with public entity(ies),,EBRD (Loan / $2 Million / 2006),No,,,,Yes,No,CT,16
1293,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2006,October,RilaGas,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,Zapad region,35,National,Not Available,,Not Available,,,2006,100,0,71.5,71.5,Number of installed connections ( in thousands),Not Available,Not Applicable,,Not Available,Competitive bidding,4,Acegas-Aps (Not Available / 100% / Italy),User fees,,No,No,,,,Yes,No,WI,32
1294,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2006,September,Ruse-West Thermal Power Plant,,Divestiture,Full,Active,,Energy,Electricity,Electricity generation,Danube,Not Available,National,Not Available,,Not Available,,,2006,100,0,3,3,MW,41,Diesel,,Highest price paid to government,Competitive bidding,10,Gerrad (Not Available / 100% / Russian Federation),Not Applicable,,No,No,,,,Yes,No,AZ,16
1295,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2006,October,Varna Power Plant,,Divestiture,Full,Active,,Energy,Electricity,Electricity generation,South-Eastern Bulgaria ,Not Available,National,Not Available,,Not Available,,,2006,100,259,126,385,MW,1260,Coal,,Highest price paid to government,Competitive bidding,4,CEZ Group (Not Available / 100% / Czech Republic),Purchase agreements or transmission fees with public entity(ies),,No,No,,,,Yes,No,NM,35
1296,Europe and Central Asia,Bulgaria,Upper middle income,Non-IDA,2006,October,Varna Power Plant,,Divestiture,Full,Active,,Energy,Electricity,Electricity generation,South-Eastern Bulgaria ,Not Available,National,Not Available,,Not Available,,,2011,100,Not Available,0.56,0.56,MW,1260,Coal,,Highest price paid to government,Competitive bidding,4,CEZ Group (Not Available / 100% / Czech Republic),Purchase agreements or transmission fees with public entity(ies),,No,No,,,,Yes,No,AZ,47
